Name,MinOrderValueMultiplier,MaxOrderValueMultiplier,MinNumGoodsOffset,MaxNumGoodsOffset,MinCrateAmountOffset,MaxCrateAmountOffset,OrderTrackPoints,MinStayTimeMinutes,MaxStayTimeMinutes,MinReturnTimeMinutes,MaxReturnTimeMinutes,BonusRewardGroup
String,int,int,int,int,int,int,int,int,int,int,int,String
Easy_0,50,50,0,0,-5,-5,40,0,0,0,0,BoatEasyBonusVouchers
Easy_1,50,50,0,0,-5,-5,40,0,0,0,0,BoatEasyBonusVouchers
Easy_2,50,50,0,0,-4,-4,40,0,0,0,0,BoatEasyBonusVouchers
Easy_3,65,65,0,0,-4,-4,40,0,0,0,0,BoatEasyBonusVouchers
Easy_4,65,65,0,0,-4,-4,40,0,0,0,0,BoatEasyBonusVouchers
Easy_5,65,65,0,0,-4,-4,40,0,0,0,0,BoatEasyBonusVouchers
Easy_6,65,65,0,0,-4,-4,40,0,0,0,0,BoatEasyBonusVouchers
Easy_7,65,65,0,0,-4,-4,40,0,0,0,0,BoatEasyBonusVouchers
Medium_0,60,60,0,0,-3,-3,65,0,0,0,0,BoatMediumBonusLandExpanion
Medium_1,75,75,0,0,-3,-3,65,0,0,0,0,BoatMediumBonusLandExpanion
Medium_2,75,75,0,0,-2,-2,65,0,0,0,0,BoatMediumBonusLandExpanion
Medium_3,90,90,0,0,-2,-2,65,0,0,0,0,BoatMediumBonusLandExpanion
Medium_4,90,90,0,0,-2,-2,65,0,0,0,0,BoatMediumBonusLandExpanion
Medium_5,90,90,0,0,-2,-2,65,0,0,0,0,BoatMediumBonusLandExpanion
Medium_6,90,90,0,0,-2,-2,65,0,0,0,0,BoatMediumBonusLandExpanion
Medium_7,90,90,0,0,-2,-2,65,0,0,0,0,BoatMediumBonusLandExpanion
Hard_0,90,90,0,0,-2,-2,100,0,0,0,0,BoatHardBonusLandExpansion
Hard_1,100,100,0,0,0,0,100,0,0,0,0,BoatHardBonusLandExpansion
Hard_2,100,100,-1,-2,0,0,100,0,0,0,0,BoatHardBonusLandExpansion
Hard_3,135,135,-1,-2,0,0,100,0,0,0,0,BoatHardBonusLandExpansion
Hard_4,140,140,-1,-2,0,0,100,0,0,0,0,BoatHardBonusLandExpansion
Hard_5,145,145,-1,-2,0,0,100,0,0,0,0,BoatHardBonusLandExpansion
Hard_6,150,150,-1,-2,0,0,100,0,0,0,0,BoatHardBonusLandExpansion
Hard_7,155,155,-1,-2,0,0,100,0,0,0,0,BoatHardBonusLandExpansion
Legacy_0,100,100,0,0,0,0,0,0,0,0,0,BoatLegacy_BoxLand1Star
Legacy_Repeat,100,100,0,0,0,0,0,0,0,0,0,
