FileName,Farm,Fishing,Town,DecorationCanvas,Editor,
String,boolean,boolean,boolean,boolean,boolean,
sc/hud.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_deco_shop_vouchers.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_chat.sc,TRUE,TRUE,TRUE,TRUE,,
sc/icons_decos.sc,TRUE,TRUE,TRUE,TRUE,,
sc/buildings_new.sc,TRUE,TRUE,TRUE,TRUE,,
sc/icons.sc,TRUE,TRUE,TRUE,TRUE,,
sc/farmpass.sc,TRUE,TRUE,TRUE,TRUE,,
sc/nature_new.sc,TRUE,TRUE,TRUE,TRUE,,
sc/map_hud.sc,TRUE,TRUE,TRUE,TRUE,,
sc/animals.sc,TRUE,TRUE,TRUE,TRUE,TRUE,
sc/tutorials.sc,TRUE,TRUE,TRUE,TRUE,,
sc/placeholders.sc,TRUE,TRUE,TRUE,TRUE,,
sc/debug.sc,TRUE,TRUE,TRUE,TRUE,,
sc/foreground.sc,TRUE,TRUE,TRUE,TRUE,,
sc/effects.sc,TRUE,TRUE,TRUE,TRUE,,
sc/ambient_animals.sc,TRUE,TRUE,TRUE,TRUE,,
sc/fishing_icons.sc,TRUE,TRUE,TRUE,TRUE,,
sc/train_icons.sc,TRUE,TRUE,TRUE,TRUE,,
sc/pop_crosspromo.sc,TRUE,TRUE,TRUE,TRUE,,
sc/animals02.sc,TRUE,TRUE,TRUE,TRUE,,
sc/map_icons.sc,TRUE,TRUE,TRUE,TRUE,,
sc/common.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_context_menus.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_daily_tasks.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_tlo.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_money_shop.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_sticker_book.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_deco_event.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_event_board.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_scid.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_mini_pass.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_global_event.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_inventory.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_settings.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_visitors_friends.sc,TRUE,,,,,
sc/deco_event_background.sc,TRUE,TRUE,TRUE,TRUE,,
sc/decos01_generic.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos02_seasonal.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos03_features.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos04_pathsandfences.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos05_modular.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos06_farmpass.sc,TRUE,,TRUE,TRUE,TRUE,
